articleID,reportedValue,obtainedValue,valueType,percentageError,comparisonOutcome,eyeballCheck
-2010,10,10,n,0,MATCH,NA
-2010,3.671622,3.671622,mean,0,MATCH,NA
-2010,3.758122,3.758122,mean,0,MATCH,NA
-2010,3.514225,3.514225,mean,0,MATCH,NA
-2010,4.553233,4.553233,mean,0,MATCH,NA
-2010,3.372486,3.372486,mean,0,MATCH,NA
-2010,3.506522,3.506522,mean,0,MATCH,NA
-2010,3.392611,3.392611,mean,0,MATCH,NA
-2010,4.238756,4.238756,mean,0,MATCH,NA
-2010,5.420558,5.420558,mean,0,MATCH,NA
-2010,5.181417,5.608625,mean,8.245003249111205,MINOR_ERROR,NA
-2010,6.364056,6.364056,mean,0,MATCH,NA
-2010,5.02357,5.02357,mean,0,MATCH,NA
-2010,5.516198,5.516198,mean,0,MATCH,NA
-2010,5.657443,5.657443,mean,0,MATCH,NA
-2010,6.47854,6.47854,mean,0,MATCH,NA
-2010,6.818,6.818,F,0,MATCH,NA
-2010,0.028,0.028,p,0,MATCH,NA
-2010,1,1,df,0,MATCH,NA
-2010,9,9,df,0,MATCH,NA
-2010,7.23,7.23,t,0,MATCH,NA
-2010,<.001,4.8988311998945464e-5,p,NA,MATCH,TRUE
-2010,9,9,df,0,MATCH,NA
-2010,9.19,9.2,t,0.10881392818280508,MINOR_ERROR,NA
-2010,<.001,7.141275817951774e-6,p,NA,MATCH,TRUE
-2010,9,9,df,0,MATCH,NA
-2010,4.29,4.3,t,0.23310023310022812,MINOR_ERROR,NA
-2010,0.002,0.002,p,0,MATCH,NA
-2010,9,9,df,0,MATCH,NA
-2010,4.79,4.8,t,0.2087682672233776,MINOR_ERROR,NA
-2010,0.001,0.001,p,0,MATCH,NA
-2010,9,9,df,0,MATCH,NA
-2010,1.02,1.02,t,0,MATCH,NA
-2010,0.334,0.334,p,0,MATCH,NA
-2010,9,9,df,0,MATCH,NA
-2010,1.78,1.78,t,0,MATCH,NA
-2010,0.108,0.108,p,0,MATCH,NA
-2010,9,9,df,0,MATCH,NA
-2010,4.21,4.22,t,0.23752969121139636,MINOR_ERROR,NA
-2010,0.002,0.002,p,0,MATCH,NA
-2010,9,9,df,0,MATCH,NA
-2010,3.392,3.392,t,0,MATCH,NA
-2010,0.008,0.008,p,0,MATCH,NA
-2010,9,9,df,0,MATCH,NA
